,location_code,fiscal_year,budget_category,budget_assignment,num_positions,service_type,amount
0,M133,2018,Family Workers,OUTREACH,0.0,,"$ 61,338"
1,M133,2018,Family Workers,PRE-K,0.0,,"$ 46,032"
0,M133,2018,Professional/Curriculum Development,STAFF DEVELOPMENT,1.0,,"$ 78,751"
0,M133,2018,Per Diem,504,,,"$ 26,665"
1,M133,2018,Per Diem,ABSENCE COVERAGE,,,"$ 143,111"
2,M133,2018,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 28,174"
0,M133,2018,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 71,938"
1,M133,2018,Per Session,PROFESSIONAL DEVELOPMENT,,,"$ 1,000"
2,M133,2018,Per Session,SUMMER STUDENT PROGRAMS,,,$ 450
0,M133,2018,OTPS,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,,"$ 39,310"
1,M133,2018,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 2,716"
2,M133,2018,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 27,515"
3,M133,2018,OTPS,EDUCATIONAL SOFTWARE,,,"$ 13,659"
4,M133,2018,OTPS,INTERNAL DOE SERVICES,,,"$ 11,874"
5,M133,2018,OTPS,LIBRARY BOOKS,,,"$ 1,230"
6,M133,2018,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 10,897"
7,M133,2018,OTPS,OFFICE TEMP SERVICES - CONTRACTUAL,,,"$ 1,647"
8,M133,2018,OTPS,SUPPLIES - GENERAL,,,"$ 192,914"
9,M133,2018,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,"$ 1,000"
10,M133,2018,OTPS,TEXTBOOKS,,,"$ 40,018"
11,M133,2018,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,$ 700
0,M133,2018,Sixth period coverage,Not Available,,,"$ 12,688"
0,M133,2018,People Working Partial Year,People Working Partial Year,,,"$ 178,707"
0,M133,2018,Setasides,O TO Q Grievance Set Aside,,,"$ 16,000"
0,M129,2022,Leadership,HEAD OF SCHOOL,1.0,,"$ 191,576"
1,M129,2022,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 94,738"
0,M129,2022,Coordinator/Supervisor/Dean,Coordinator-Student Activities,1.0,,"$ 89,930"
0,M129,2022,Secretary,School Secretary,1.0,,"$ 81,050"
0,M129,2022,Homeroom Teacher,ENGLISH LANGUAGE ARTS,2.0,ICT - General Ed Teacher,"$ 217,390"
1,M129,2022,Homeroom Teacher,ENGLISH LANGUAGE ARTS,2.0,ICT - Special Ed Teacher,"$ 217,390"
2,M129,2022,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,SELF-CONTAINED SP ED,"$ 108,695"
3,M129,2022,Homeroom Teacher,ENGLISH LANGUAGE ARTS,9.0,WHOLE CLASS,"$ 1,107,278"
5,M129,2022,Homeroom Teacher,FL - SPANISH,1.0,WHOLE CLASS,"$ 108,695"
6,M129,2022,Homeroom Teacher,LITERACY,1.0,SELF-CONTAINED SP ED,"$ 108,832"
7,M129,2022,Homeroom Teacher,MATH,1.0,WHOLE CLASS,"$ 115,092"
8,M129,2022,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),1.0,ICT - General Ed Teacher,"$ 112,831"
9,M129,2022,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),3.0,SELF-CONTAINED SP ED,"$ 326,085"
10,M129,2022,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),1.0,WHOLE CLASS,"$ 108,695"
0,M129,2022,Cluster/Quota Teacher,ESL,1.0,PULL-OUT -all students,"$ 120,031"
1,M129,2022,Cluster/Quota Teacher,LIBRARY,1.0,WHOLE CLASS,"$ 108,695"
2,M129,2022,Cluster/Quota Teacher,MUSIC,1.0,WHOLE CLASS,"$ 147,339"
3,M129,2022,Cluster/Quota Teacher,SOCIAL STUDIES,1.0,REDUCED CLASS SIZE,"$ 117,153"
4,M129,2022,Cluster/Quota Teacher,TECHNOLOGY,1.0,WHOLE CLASS,"$ 146,582"
0,M129,2022,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN-All Students,"$ 108,695"
1,M129,2022,Special Needs - Support Services,INTERVENTION / PREVENTION,1.0,PUSH IN/PULL OUT,"$ 108,695"
2,M129,2022,Special Needs - Support Services,SPEECH,1.0,PUSH IN-All Students,"$ 103,083"
3,M129,2022,Special Needs - Support Services,SPEECH,1.0,PUSH IN/PULL OUT,"$ 103,083"
0,M129,2022,Guidance/Social Workers,Guidance Counselor Bilingual,1.0,,"$ 108,504"
1,M129,2022,Guidance/Social Workers,School Social Worker,1.0,,"$ 108,762"
0,M129,2022,SBST,DC 37 Para More Than 20 Hrs,0.0,,"$ 26,327"
1,M129,2022,SBST,School Psychologist Mandated Services,1.0,,"$ 154,225"
2,M129,2022,SBST,School Social Worker,1.0,,"$ 108,762"
0,M129,2022,Paraprofessionals,CLASSROOM - General Ed,3.0,,"$ 176,038"
1,M129,2022,Paraprofessionals,CLASSROOM - Special Ed,2.0,,"$ 107,596"
2,M129,2022,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),7.0,,"$ 276,719"
3,M129,2022,Paraprofessionals,IEP-TOILETING,1.0,,"$ 42,852"
0,M129,2022,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 97,363"
0,M129,2022,Family Workers,ATTENDANCE,0.0,,"$ 52,653"
1,M129,2022,Family Workers,OUTREACH,0.0,,"$ 33,426"
0,M129,2022,Per Diem,ABSENCE COVERAGE,,,"$ 190,083"
1,M129,2022,Per Diem,CURRICULUM DEVELOPMENT,,,"$ 2,499"
0,M129,2022,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 316,831"
1,M129,2022,Per Session,PUPIL PERSONNEL SERVICES,,,"$ 5,859"
2,M129,2022,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 77,466"
0,M129,2022,OTPS,Curriculum & Staff Development Contracts,,,"$ 56,700"
1,M129,2022,OTPS,Data Processing Repair - Contractual,,,"$ 3,974"
2,M129,2022,OTPS,Educational Consultants,,,"$ 20,885"
3,M129,2022,OTPS,Educational Software,,,"$ 9,558"
4,M129,2022,OTPS,Equipment - General,,,"$ 77,849"
5,M129,2022,OTPS,Forms Object Code 100,,,"$ 1,200"
6,M129,2022,OTPS,Furniture Object 300,,,"$ 2,821"
7,M129,2022,OTPS,Library Books,,,"$ 1,628"
8,M129,2022,OTPS,Non-Contractual Services,,,"$ 27,375"
9,M129,2022,OTPS,Professional Services Other,,,"$ 5,000"
10,M129,2022,OTPS,Supplies - General,,,"$ 203,278"
11,M129,2022,OTPS,Telephone and Other Communications,,,"$ 2,900"
12,M129,2022,OTPS,Textbooks,,,"$ 3,981"
13,M129,2022,OTPS,Transportation of Staff - Non-Contract,,,"$ 3,040"
0,M129,2022,Setasides,School Funded Copier,,,"$ 5,016"
1,M129,2022,Setasides,Summer Non-Professional 016,,,"$ 15,279"
0,M129,2022,Sixth period coverage,Not Available,,,"$ 1,815"
0,M129,2022,People Working Partial Year,People Working Partial Year,,,"$ 335,608"
0,M129,2021,Leadership,HEAD OF SCHOOL,1.0,,"$ 184,727"
1,M129,2021,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 138,358"
0,M129,2021,Coordinator/Supervisor/Dean,Coordinator-Student Activities,1.0,,"$ 83,395"
1,M129,2021,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 63,688"
0,M129,2021,Secretary,School Secretary,1.0,,"$ 79,446"
0,M129,2021,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,ICT - General Ed Teacher,"$ 104,624"
1,M129,2021,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,REDUCED CLASS SIZE,"$ 114,394"
2,M129,2021,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,SELF-CONTAINED SP ED,"$ 103,762"
3,M129,2021,Homeroom Teacher,ENGLISH LANGUAGE ARTS,16.0,WHOLE CLASS,"$ 1,902,380"
5,M129,2021,Homeroom Teacher,LITERACY,1.0,SELF-CONTAINED SP ED,"$ 103,891"
6,M129,2021,Homeroom Teacher,MATH,2.0,WHOLE CLASS,"$ 213,573"
7,M129,2021,Homeroom Teacher,SOCIAL STUDIES,1.0,ICT - General Ed Teacher,"$ 103,762"
8,M129,2021,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),3.0,SELF-CONTAINED SP ED,"$ 320,948"
9,M129,2021,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),1.0,WHOLE CLASS,"$ 35,404"
0,M129,2021,Cluster/Quota Teacher,ARTS,1.0,WHOLE CLASS,"$ 104,870"
1,M129,2021,Cluster/Quota Teacher,ESL,1.0,PULL-OUT -all students,"$ 114,480"
2,M129,2021,Cluster/Quota Teacher,LIBRARY,1.0,WHOLE CLASS,"$ 103,762"
3,M129,2021,Cluster/Quota Teacher,MUSIC,1.0,WHOLE CLASS,"$ 30,496"
4,M129,2021,Cluster/Quota Teacher,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 112,385"
5,M129,2021,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,1.0,WHOLE CLASS,"$ 112,385"
6,M129,2021,Cluster/Quota Teacher,TECHNOLOGY,1.0,WHOLE CLASS,"$ 134,109"
0,M129,2021,Special Needs - Support Services,SETSS,2.0,PUSH IN/PULL OUT,"$ 207,524"
1,M129,2021,Special Needs - Support Services,SPEECH,1.0,PUSH IN-All Students,"$ 99,109"
2,M129,2021,Special Needs - Support Services,SPEECH,2.0,PUSH IN/PULL OUT,"$ 198,218"
0,M129,2021,Guidance/Social Workers,Guidance Counselor Bilingual,1.0,,"$ 104,565"
1,M129,2021,Guidance/Social Workers,School Social Worker,1.0,,"$ 104,088"
2,M129,2021,Guidance/Social Workers,TEACHER – ATTENDANCE - SCHOOL FUNDED,1.0,,"$ 117,597"
0,M129,2021,SBST,DC 37 Para More Than 20 Hrs,0.0,,"$ 18,482"
1,M129,2021,SBST,School Psychologist Mandated Services,1.0,,"$ 147,128"
2,M129,2021,SBST,School Social Worker,1.0,,"$ 104,088"
0,M129,2021,Paraprofessionals,Class Mgr,0.0,,"$ 7,000"
1,M129,2021,Paraprofessionals,CLASSROOM - General Ed,4.0,,"$ 221,258"
2,M129,2021,Paraprofessionals,CLASSROOM - Special Ed,2.0,,"$ 112,709"
3,M129,2021,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),8.0,,"$ 312,112"
4,M129,2021,Paraprofessionals,IEP-TOILETING,1.0,,"$ 39,295"
0,M129,2021,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 91,698"
0,M129,2021,Family Workers,ATTENDANCE,0.0,,"$ 48,868"
1,M129,2021,Family Workers,OUTREACH,0.0,,"$ 33,559"
0,M129,2021,Per Diem,ABSENCE COVERAGE,,,"$ 210,682"
1,M129,2021,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 10,448"
0,M129,2021,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 68,851"
1,M129,2021,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 1,475"
0,M129,2021,OTPS,Data Processing Repair - Contractual,,,"$ 6,555"
1,M129,2021,OTPS,Educational Consultants,,,"$ 7,500"
2,M129,2021,OTPS,Educational Software,,,"$ 1,783"
3,M129,2021,OTPS,Equipment - General,,,"$ 1,784"
4,M129,2021,OTPS,Library Books,,,"$ 1,969"
5,M129,2021,OTPS,Non-Contractual Services,,,"$ 3,000"
6,M129,2021,OTPS,Supplies - General,,,"$ 77,451"
7,M129,2021,OTPS,Telephone and Other Communications,,,"$ 3,250"
0,M129,2021,Setasides,Summer Non-Professional 016,,,"$ 13,249"
0,M129,2021,Sixth period coverage,Not Available,,,"$ 143,084"
0,M129,2021,People Working Partial Year,People Working Partial Year,,,"$ 167,978"
0,M129,2020,Leadership,HEAD OF SCHOOL,1.0,,"$ 176,947"
1,M129,2020,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 132,242"
0,M129,2020,Coordinator/Supervisor/Dean,Coordinator-Student Activities,1.0,,"$ 76,935"
1,M129,2020,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 63,088"
0,M129,2020,Secretary,SCHOOL SECRETARY,1.0,,"$ 77,357"
0,M129,2020,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,ICT - General Ed Teacher,"$ 98,620"
1,M129,2020,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,ICT - Special Ed Teacher,"$ 97,809"
2,M129,2020,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,REDUCED CLASS SIZE,"$ 107,809"
3,M129,2020,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,SELF-CONTAINED SP ED,"$ 97,809"
4,M129,2020,Homeroom Teacher,ENGLISH LANGUAGE ARTS,16.0,WHOLE CLASS,"$ 1,805,407"
6,M129,2020,Homeroom Teacher,LITERACY,1.0,SELF-CONTAINED SP ED,"$ 97,931"
7,M129,2020,Homeroom Teacher,MATH,2.0,WHOLE CLASS,"$ 201,307"
8,M129,2020,Homeroom Teacher,SOCIAL STUDIES,1.0,ICT - General Ed Teacher,"$ 97,809"
9,M129,2020,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),4.0,SELF-CONTAINED SP ED,"$ 366,325"
0,M129,2020,Cluster/Quota Teacher,ARTS,1.0,WHOLE CLASS,"$ 98,851"
1,M129,2020,Cluster/Quota Teacher,ENRICHMENT,1.0,WHOLE CLASS,"$ 97,809"
2,M129,2020,Cluster/Quota Teacher,ESL,1.0,PULL-OUT -all students,"$ 97,809"
3,M129,2020,Cluster/Quota Teacher,LIBRARY,1.0,WHOLE CLASS,"$ 107,464"
4,M129,2020,Cluster/Quota Teacher,MUSIC VOCAL,1.0,WHOLE CLASS,"$ 122,886"
5,M129,2020,Cluster/Quota Teacher,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 105,919"
6,M129,2020,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,1.0,WHOLE CLASS,"$ 105,919"
7,M129,2020,Cluster/Quota Teacher,TECHNOLOGY,1.0,WHOLE CLASS,"$ 112,764"
0,M129,2020,Special Needs - Support Services,SETSS,2.0,PUSH IN/PULL OUT,"$ 195,618"
1,M129,2020,Special Needs - Support Services,SPEECH,1.0,PUSH IN-All Students,"$ 96,693"
2,M129,2020,Special Needs - Support Services,SPEECH,2.0,PUSH IN/PULL OUT,"$ 193,386"
0,M129,2020,Guidance/Social Workers,GUIDANCE COUNSELOR BILINGUAL,1.0,,"$ 104,771"
1,M129,2020,Guidance/Social Workers,SCHOOL SOCIAL WORKER,1.0,,"$ 103,102"
2,M129,2020,Guidance/Social Workers,TEACHER – ATTENDANCE - SCHOOL FUNDED,1.0,,"$ 111,592"
0,M129,2020,SBST,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,,"$ 145,632"
1,M129,2020,SBST,SCHOOL SOCIAL WORKER,1.0,,"$ 103,102"
0,M129,2020,Paraprofessionals,504,1.0,,"$ 38,197"
1,M129,2020,Paraprofessionals,CLASSROOM - General Ed,4.0,,"$ 197,482"
2,M129,2020,Paraprofessionals,CLASSROOM - Special Ed,4.0,,"$ 149,472"
3,M129,2020,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),4.0,,"$ 160,145"
4,M129,2020,Paraprofessionals,IEP-HEALTH,1.0,,"$ 13,407"
5,M129,2020,Paraprofessionals,IEP-TOILETING,1.0,,"$ 38,197"
0,M129,2020,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 90,694"
0,M129,2020,Family Workers,ATTENDANCE,0.0,,"$ 50,051"
1,M129,2020,Family Workers,OUTREACH,0.0,,"$ 33,956"
0,M129,2020,Per Diem,ABSENCE COVERAGE,,,"$ 1,360"
1,M129,2020,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 67,384"
2,M129,2020,Per Diem,IEP-HEALTH,,,"$ 17,454"
0,M129,2020,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 49,129"
0,M129,2020,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 6,555"
1,M129,2020,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 16,550"
2,M129,2020,OTPS,EDUCATIONAL SOFTWARE,,,"$ 2,834"
3,M129,2020,OTPS,EQUIPMENT - GENERAL,,,"$ 2,834"
4,M129,2020,OTPS,FORMS (OBJECT CODE 100),,,$ 230
5,M129,2020,OTPS,LIBRARY BOOKS,,,"$ 2,116"
6,M129,2020,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 10,389"
7,M129,2020,OTPS,SUPPLIES - GENERAL,,,"$ 40,205"
8,M129,2020,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,"$ 3,128"
9,M129,2020,OTPS,TEXTBOOKS,,,$ 45
0,M129,2020,Setasides,Summer Non-Professional (016),,,"$ 12,729"
0,M129,2020,Sixth period coverage,Not Available,,,"$ 10,946"
0,M129,2020,People Working Partial Year,People Working Partial Year,,,"$ 83,933"
0,M129,2019,Leadership,HEAD OF SCHOOL,1.0,,"$ 174,538"
1,M129,2019,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 125,917"
0,M129,2019,Coordinator/Supervisor/Dean,Coordinator-Student Activities,1.0,,"$ 34,968"
1,M129,2019,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 59,231"
0,M129,2019,Secretary,SCHOOL SECRETARY,1.0,,"$ 74,775"
0,M129,2019,Homeroom Teacher,ENGLISH LANGUAGE ARTS,2.0,ICT - General Ed Teacher,"$ 193,651"
1,M129,2019,Homeroom Teacher,ENGLISH LANGUAGE ARTS,2.0,SELF-CONTAINED SP ED,"$ 192,852"
2,M129,2019,Homeroom Teacher,ENGLISH LANGUAGE ARTS,14.0,WHOLE CLASS,"$ 1,538,053"
4,M129,2019,Homeroom Teacher,LITERACY,1.0,SELF-CONTAINED SP ED,"$ 96,218"
5,M129,2019,Homeroom Teacher,MATH,2.0,WHOLE CLASS,"$ 198,457"
6,M129,2019,Homeroom Teacher,SOCIAL STUDIES,1.0,ICT - General Ed Teacher,"$ 96,426"
7,M129,2019,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),1.0,ICT - Special Ed Teacher,"$ 44,892"
8,M129,2019,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),4.0,SELF-CONTAINED SP ED,"$ 385,704"
0,M129,2019,Cluster/Quota Teacher,ARTS,1.0,WHOLE CLASS,"$ 97,453"
1,M129,2019,Cluster/Quota Teacher,ENRICHMENT,1.0,WHOLE CLASS,"$ 96,426"
2,M129,2019,Cluster/Quota Teacher,ESL,1.0,PULL-OUT -all students,"$ 107,891"
3,M129,2019,Cluster/Quota Teacher,LIBRARY,1.0,WHOLE CLASS,"$ 103,133"
4,M129,2019,Cluster/Quota Teacher,MUSIC VOCAL,1.0,WHOLE CLASS,"$ 121,131"
5,M129,2019,Cluster/Quota Teacher,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 96,426"
6,M129,2019,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,1.0,WHOLE CLASS,"$ 62,031"
7,M129,2019,Cluster/Quota Teacher,SOCIAL STUDIES,1.0,REDUCED CLASS SIZE,"$ 106,277"
8,M129,2019,Cluster/Quota Teacher,TECHNOLOGY,1.0,WHOLE CLASS,"$ 96,426"
0,M129,2019,Special Needs - Support Services,INTERVENTION / PREVENTION,2.0,PUSH IN/PULL OUT,"$ 224,811"
1,M129,2019,Special Needs - Support Services,PHYSICAL THERAPY,1.0,PULL-OUT -all students,"$ 75,864"
2,M129,2019,Special Needs - Support Services,SPEECH,1.0,PUSH IN-All Students,"$ 93,637"
3,M129,2019,Special Needs - Support Services,SPEECH,2.0,PUSH IN/PULL OUT,"$ 187,274"
0,M129,2019,Guidance/Social Workers,GUIDANCE COUNSELOR BILINGUAL,1.0,,"$ 100,746"
1,M129,2019,Guidance/Social Workers,SCHOOL SOCIAL WORKER,1.0,,"$ 99,227"
2,M129,2019,Guidance/Social Workers,TEACHER – ATTENDANCE - SCHOOL FUNDED,1.0,,"$ 110,848"
0,M129,2019,SBST,DC 37 PARA (MORE THAN 20 HRS),0.0,,"$ 38,543"
1,M129,2019,SBST,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,,"$ 140,158"
2,M129,2019,SBST,SCHOOL SOCIAL WORKER,1.0,,"$ 99,227"
0,M129,2019,Paraprofessionals,504,1.0,,"$ 36,020"
1,M129,2019,Paraprofessionals,CLASSROOM - General Ed,4.0,,"$ 211,538"
2,M129,2019,Paraprofessionals,CLASSROOM - Special Ed,4.0,,"$ 166,697"
3,M129,2019,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),8.0,,"$ 297,347"
0,M129,2019,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 84,443"
0,M129,2019,Family Workers,ATTENDANCE,0.0,,"$ 48,164"
1,M129,2019,Family Workers,OUTREACH,0.0,,"$ 32,290"
0,M129,2019,Per Diem,ABSENCE COVERAGE,,,"$ 159,682"
1,M129,2019,Per Diem,CURRICULUM DEVELOPMENT,,,$ 0
2,M129,2019,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 24,073"
0,M129,2019,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 132,147"
0,M129,2019,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 6,822"
1,M129,2019,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 6,400"
2,M129,2019,OTPS,EDUCATIONAL SOFTWARE,,,"$ 5,151"
3,M129,2019,OTPS,EQUIPMENT - GENERAL,,,"$ 9,271"
4,M129,2019,OTPS,FORMS (OBJECT CODE 100),,,"$ 1,000"
5,M129,2019,OTPS,FURNITURE (OBJECT 300),,,"$ 24,625"
6,M129,2019,OTPS,LIBRARY BOOKS,,,"$ 2,536"
7,M129,2019,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 13,094"
8,M129,2019,OTPS,SUPPLIES - GENERAL,,,"$ 62,057"
9,M129,2019,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,"$ 2,536"
10,M129,2019,OTPS,TEXTBOOKS,,,$ 811
11,M129,2019,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 19,961"
0,M129,2019,Setasides,Summer Non-Professional (016),,,"$ 48,309"
0,M129,2019,Sixth period coverage,Not Available,,,"$ 3,659"
0,M129,2019,People Working Partial Year,People Working Partial Year,,,"$ 104,978"
0,M129,2019,Setasides,CB GE All Other Salaries Set Aside,,,"$ 11,611"
1,M129,2019,Setasides,CB GE Classroom Teachers Set Aside,,,"$ 24,016"
2,M129,2019,Setasides,CB GE Pupil Support Services Set Aside,,,"$ 1,444"
3,M129,2019,Setasides,CB Pre-K GE Set Aside,,,"$ 8,582"
4,M129,2019,Setasides,CB SE All Other Salaries Set Aside,,,"$ 8,011"
5,M129,2019,Setasides,CB SE Classroom Teachers Set Aside,,,"$ 3,719"
6,M129,2019,Setasides,CB SE Pupil Support Services Set Aside,,,"$ 18,273"
0,M129,2018,Leadership,HEAD OF SCHOOL,1.0,,"$ 165,203"
1,M129,2018,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 118,942"
0,M129,2018,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 59,231"
0,M129,2018,Secretary,SCHOOL SECRETARY,1.0,,"$ 72,170"
0,M129,2018,Homeroom Teacher,ENGLISH LANGUAGE ARTS,3.0,ICT - General Ed Teacher,"$ 277,013"
1,M129,2018,Homeroom Teacher,ENGLISH LANGUAGE ARTS,3.0,SELF-CONTAINED SP ED,"$ 276,423"
2,M129,2018,Homeroom Teacher,ENGLISH LANGUAGE ARTS,12.0,WHOLE CLASS,"$ 1,240,302"
4,M129,2018,Homeroom Teacher,LITERACY,1.0,SELF-CONTAINED SP ED,"$ 92,252"
5,M129,2018,Homeroom Teacher,MATH,1.0,WHOLE CLASS,"$ 97,343"
6,M129,2018,Homeroom Teacher,SOCIAL STUDIES,1.0,ICT - General Ed Teacher,"$ 92,141"
7,M129,2018,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),1.0,ICT - General Ed Teacher,"$ 99,557"
8,M129,2018,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),1.0,ICT - Special Ed Teacher,"$ 92,141"
9,M129,2018,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),3.0,SELF-CONTAINED SP ED,"$ 276,423"
0,M129,2018,Cluster/Quota Teacher,ARTS,1.0,WHOLE CLASS,"$ 93,094"
1,M129,2018,Cluster/Quota Teacher,ESL,1.0,PULL-OUT -all students,"$ 99,557"
2,M129,2018,Cluster/Quota Teacher,LIBRARY,1.0,WHOLE CLASS,"$ 92,141"
3,M129,2018,Cluster/Quota Teacher,MUSIC VOCAL,1.0,WHOLE CLASS,"$ 115,070"
4,M129,2018,Cluster/Quota Teacher,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 92,141"
5,M129,2018,Cluster/Quota Teacher,READING RECOVERY,1.0,SELF-CONTAINED SP ED,"$ 92,141"
6,M129,2018,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,1.0,WHOLE CLASS,"$ 75,196"
7,M129,2018,Cluster/Quota Teacher,SOCIAL STUDIES,1.0,REDUCED CLASS SIZE,"$ 99,557"
0,M129,2018,Special Needs - Support Services,PHYSICAL THERAPY,1.0,PULL-OUT -all students,"$ 72,692"
1,M129,2018,Special Needs - Support Services,SETSS,1.0,PUSH IN/PULL OUT,"$ 92,141"
2,M129,2018,Special Needs - Support Services,SPEECH,1.0,PUSH IN-All Students,"$ 51,872"
3,M129,2018,Special Needs - Support Services,SPEECH,2.0,PUSH IN/PULL OUT,"$ 180,332"
0,M129,2018,SAPIS,SUBSTANCE ABUSE PREVENTION & INTERV SPEC (H-BANK),1.0,,"$ 82,838"
0,M129,2018,Guidance/Social Workers,GUIDANCE COUNSELOR BILINGUAL,1.0,,"$ 95,833"
1,M129,2018,Guidance/Social Workers,SCHOOL SOCIAL WORKER,1.0,,"$ 95,255"
2,M129,2018,Guidance/Social Workers,TEACHER – ATTENDANCE - SCHOOL FUNDED,1.0,,"$ 105,526"
0,M129,2018,SBST,DC 37 PARA (MORE THAN 20 HRS),0.0,,"$ 57,514"
1,M129,2018,SBST,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,,"$ 107,999"
2,M129,2018,SBST,SCHOOL SOCIAL WORKER,1.0,,"$ 95,255"
0,M129,2018,Paraprofessionals,504,1.0,,"$ 25,024"
1,M129,2018,Paraprofessionals,CLASSROOM - General Ed,2.0,,"$ 96,201"
2,M129,2018,Paraprofessionals,CLASSROOM - Special Ed,7.0,,"$ 221,383"
3,M129,2018,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),6.0,,"$ 226,002"
4,M129,2018,Paraprofessionals,MOBILITY,1.0,,"$ 34,699"
0,M129,2018,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 83,643"
0,M129,2018,Family Workers,ATTENDANCE,0.0,,"$ 45,918"
0,M129,2018,Per Diem,ABSENCE COVERAGE,,,"$ 180,938"
1,M129,2018,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 24,268"
0,M129,2018,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 97,254"
