,budget_assignment,num_positions,amount,budget_category,service_type,location_code,fiscal_year
10502,Supplies - General,,"$ 76,699",OTPS,,Q031,2022
10503,Textbooks,,"$ 14,630",OTPS,,Q031,2022
10504,Mid-Year Repayment Set Aside,,"$ 10,078",Setasides,,Q031,2022
10505,School Funded Copier,,"$ 1,548",Setasides,,Q031,2022
10506,People Working Partial Year,,"$ 161,535",People Working Partial Year,,Q031,2022
10507,Main School,55.0,"$ 5,933,570",School Site,,Q031,2022
10508,HEAD OF SCHOOL,1.0,"$ 177,307",Leadership,,Q031,2021
10509,ASST HEAD OF SCHOOL,1.0,"$ 138,358",Leadership,,Q031,2021
10510,PARENT COORDINATOR,1.0,"$ 43,968",Coordinator/Supervisor/Dean,,Q031,2021
10511,School Secretary,1.0,"$ 70,862",Secretary,,Q031,2021
10512,Pre K,2.0,"$ 279,737",Classroom Teacher,WHOLE CLASS,Q031,2021
10513,K,1.0,"$ 98,812",Classroom Teacher,ICT - General Ed Teacher,Q031,2021
10514,K,1.0,"$ 98,812",Classroom Teacher,ICT - Special Ed Teacher,Q031,2021
10515,K,2.0,"$ 197,624",Classroom Teacher,WHOLE CLASS,Q031,2021
10516,K,4.0,"$ 395,248",Classroom Teacher,Sub-Total,Q031,2021
10517,"K, 1",1.0,"$ 98,812",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2021
10518,1,1.0,"$ 98,812",Classroom Teacher,ICT - General Ed Teacher,Q031,2021
10519,1,1.0,"$ 98,812",Classroom Teacher,ICT - Special Ed Teacher,Q031,2021
10520,1,1.0,"$ 98,812",Classroom Teacher,WHOLE CLASS,Q031,2021
10521,1,3.0,"$ 296,436",Classroom Teacher,Sub-Total,Q031,2021
10522,2,1.0,"$ 98,812",Classroom Teacher,ICT - Special Ed Teacher,Q031,2021
10523,2,1.0,"$ 121,746",Classroom Teacher,REDUCED CLASS SIZE,Q031,2021
10524,2,1.0,"$ 98,812",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2021
10525,2,1.0,"$ 98,812",Classroom Teacher,WHOLE CLASS,Q031,2021
10526,2,4.0,"$ 418,182",Classroom Teacher,Sub-Total,Q031,2021
10527,3,1.0,"$ 98,812",Classroom Teacher,ICT - General Ed Teacher,Q031,2021
10528,3,1.0,"$ 98,812",Classroom Teacher,ICT - Special Ed Teacher,Q031,2021
10529,3,1.0,"$ 98,812",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2021
10530,3,1.0,"$ 98,812",Classroom Teacher,WHOLE CLASS,Q031,2021
10531,3,4.0,"$ 395,248",Classroom Teacher,Sub-Total,Q031,2021
10532,4,1.0,"$ 98,812",Classroom Teacher,ICT - General Ed Teacher,Q031,2021
10533,4,1.0,"$ 98,812",Classroom Teacher,ICT - Special Ed Teacher,Q031,2021
10534,4,1.0,"$ 98,812",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2021
10535,4,2.0,"$ 197,624",Classroom Teacher,WHOLE CLASS,Q031,2021
10536,4,5.0,"$ 494,060",Classroom Teacher,Sub-Total,Q031,2021
10537,5,1.0,"$ 98,812",Classroom Teacher,ICT - General Ed Teacher,Q031,2021
10538,5,1.0,"$ 98,812",Classroom Teacher,ICT - Special Ed Teacher,Q031,2021
10539,5,1.0,"$ 98,812",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2021
10540,5,2.0,"$ 197,624",Classroom Teacher,WHOLE CLASS,Q031,2021
10541,5,5.0,"$ 494,060",Classroom Teacher,Sub-Total,Q031,2021
10542,ARTS,1.0,"$ 139,868",Elementary Cluster/Quota,REDUCED CLASS SIZE,Q031,2021
10543,COMPUTER,1.0,"$ 56,510",Elementary Cluster/Quota,WHOLE CLASS,Q031,2021
10544,ESL,1.0,"$ 98,812",Elementary Cluster/Quota,PUSH IN/PULL OUT,Q031,2021
10545,ESL,1.0,"$ 99,625",Elementary Cluster/Quota,WHOLE CLASS,Q031,2021
10546,ESL,2.0,"$ 198,437",Elementary Cluster/Quota,Sub-Total,Q031,2021
10547,MUSIC,1.0,"$ 2,364",Elementary Cluster/Quota,WHOLE CLASS,Q031,2021
10548,PHYSICAL EDUCATION,1.0,"$ 29,177",Elementary Cluster/Quota,WHOLE CLASS,Q031,2021
10549,SCIENCE - GENERAL SCIENCE,1.0,"$ 102,950",Elementary Cluster/Quota,WHOLE CLASS,Q031,2021
10550,OCCUPATIONAL THERAPY,1.0,"$ 78,516",Special Needs - Support Services,PUSH IN/PULL OUT,Q031,2021
10551,SETSS,1.0,"$ 98,812",Special Needs - Support Services,PUSH IN/PULL OUT,Q031,2021
10552,SPEECH,1.0,"$ 99,109",Special Needs - Support Services,PUSH IN/PULL OUT,Q031,2021
10553,F-Status - Guidance Counselor,0.0,"$ 18,667",Guidance/Social Workers,,Q031,2021
10554,Guidance Counselor,0.4,"$ 41,635",Guidance/Social Workers,,Q031,2021
10555,DC 37 Para More Than 20 Hrs,0.0,"$ 40,032",SBST,,Q031,2021
10556,School Psychologist Mandated Services,1.0,"$ 104,088",SBST,,Q031,2021
10557,504,1.0,"$ 39,295",Paraprofessionals,,Q031,2021
10558,CLASSROOM - Special Ed,4.0,"$ 157,180",Paraprofessionals,,Q031,2021
10559,IEP-ALTERNATE PLACEMENT,1.0,"$ 60,836",Paraprofessionals,,Q031,2021
10560,IEP-AWAITING PLACEMENT,1.0,"$ 39,295",Paraprofessionals,,Q031,2021
10561,IEP-CRISIS MANAGEMENT(CIT),2.0,"$ 78,590",Paraprofessionals,,Q031,2021
10562,IEP-HEALTH,1.0,"$ 39,295",Paraprofessionals,,Q031,2021
10563,PRE-K,2.0,"$ 127,332",Paraprofessionals,,Q031,2021
10564,School Aides and Other Support Staff,0.0,"$ 102,446",School Aides and Other Support Staff,,Q031,2021
10565,ABSENCE COVERAGE,,"$ 157,045",Per Diem,,Q031,2021
10566,IEP-HEALTH,,"$ 16,435",Per Diem,,Q031,2021
10567,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 35,377",Per Session,,Q031,2021
10568,PUPIL PERSONNEL SERVICES,,"$ 1,486",Per Session,,Q031,2021
10569,Curriculum & Staff Development Contracts,,"$ 2,800",OTPS,,Q031,2021
10570,Data Processing Repair - Contractual,,"$ 2,438",OTPS,,Q031,2021
10571,Educational Software,,"$ 23,548",OTPS,,Q031,2021
10572,Equipment - General,,"$ 26,472",OTPS,,Q031,2021
10573,Library Books,,"$ 2,931",OTPS,,Q031,2021
10574,Non-Contractual Services,,"$ 3,000",OTPS,,Q031,2021
10575,Supplies - General,,"$ 22,358",OTPS,,Q031,2021
10576,Textbooks,,$ 199,OTPS,,Q031,2021
10577,School Funded Copier,,"$ 1,290",Setasides,,Q031,2021
10578,People Working Partial Year,,"$ 284,785",People Working Partial Year,,Q031,2021
10579,Main School,55.4,"$ 5,536,876",School Site,,Q031,2021
10580,HEAD OF SCHOOL,1.0,"$ 169,839",Leadership,,Q031,2020
10581,ASST HEAD OF SCHOOL,1.0,"$ 132,242",Leadership,,Q031,2020
10582,PARENT COORDINATOR,1.0,"$ 43,558",Coordinator/Supervisor/Dean,,Q031,2020
10583,F STATUS - SCHOOL SECRETARY,0.0,"$ 19,446",Secretary,,Q031,2020
10584,SCHOOL SECRETARY,1.0,"$ 66,662",Secretary,,Q031,2020
10585,Pre K,2.0,"$ 263,664",Classroom Teacher,WHOLE CLASS,Q031,2020
10586,K,1.0,"$ 93,194",Classroom Teacher,ICT - General Ed Teacher,Q031,2020
10587,K,1.0,"$ 12,656",Classroom Teacher,ICT - Special Ed Teacher,Q031,2020
10588,K,2.0,"$ 186,388",Classroom Teacher,WHOLE CLASS,Q031,2020
10589,K,4.0,"$ 292,238",Classroom Teacher,Sub-Total,Q031,2020
10590,"K, 1",1.0,"$ 93,194",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2020
10591,1,1.0,"$ 93,194",Classroom Teacher,ICT - Special Ed Teacher,Q031,2020
10592,1,3.0,"$ 279,582",Classroom Teacher,WHOLE CLASS,Q031,2020
10593,1,4.0,"$ 372,776",Classroom Teacher,Sub-Total,Q031,2020
10594,2,1.0,"$ 93,194",Classroom Teacher,ICT - Special Ed Teacher,Q031,2020
10595,2,1.0,"$ 112,706",Classroom Teacher,REDUCED CLASS SIZE,Q031,2020
10596,2,1.0,"$ 93,194",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2020
10597,2,1.0,"$ 93,194",Classroom Teacher,WHOLE CLASS,Q031,2020
10598,2,4.0,"$ 392,288",Classroom Teacher,Sub-Total,Q031,2020
10599,3,1.0,"$ 93,194",Classroom Teacher,ICT - General Ed Teacher,Q031,2020
10600,3,1.0,"$ 20,055",Classroom Teacher,ICT - Special Ed Teacher,Q031,2020
10601,3,1.0,"$ 93,194",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2020
10602,3,2.0,"$ 186,388",Classroom Teacher,WHOLE CLASS,Q031,2020
10603,3,5.0,"$ 392,831",Classroom Teacher,Sub-Total,Q031,2020
10604,4,2.0,"$ 186,388",Classroom Teacher,ICT - General Ed Teacher,Q031,2020
10605,4,1.0,"$ 93,194",Classroom Teacher,ICT - Special Ed Teacher,Q031,2020
10606,4,1.0,"$ 93,194",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2020
10607,4,1.0,"$ 93,194",Classroom Teacher,WHOLE CLASS,Q031,2020
10608,4,5.0,"$ 465,970",Classroom Teacher,Sub-Total,Q031,2020
10609,5,2.0,"$ 186,388",Classroom Teacher,ICT - General Ed Teacher,Q031,2020
10610,5,2.0,"$ 121,888",Classroom Teacher,ICT - Special Ed Teacher,Q031,2020
10611,5,1.0,"$ 93,194",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2020
10612,5,1.0,"$ 93,194",Classroom Teacher,WHOLE CLASS,Q031,2020
10613,5,6.0,"$ 494,664",Classroom Teacher,Sub-Total,Q031,2020
10614,ARTS,1.0,"$ 131,832",Elementary Cluster/Quota,REDUCED CLASS SIZE,Q031,2020
10615,COMPUTER,1.0,"$ 52,014",Elementary Cluster/Quota,WHOLE CLASS,Q031,2020
10616,ESL,1.0,"$ 93,194",Elementary Cluster/Quota,PUSH IN/PULL OUT,Q031,2020
10617,ESL,1.0,"$ 93,959",Elementary Cluster/Quota,WHOLE CLASS,Q031,2020
10618,ESL,2.0,"$ 187,153",Elementary Cluster/Quota,Sub-Total,Q031,2020
10619,MUSIC,1.0,"$ 131,832",Elementary Cluster/Quota,WHOLE CLASS,Q031,2020
10620,PHYSICAL EDUCATION,1.0,"$ 119,082",Elementary Cluster/Quota,WHOLE CLASS,Q031,2020
10621,SCIENCE - GENERAL SCIENCE,1.0,"$ 97,089",Elementary Cluster/Quota,WHOLE CLASS,Q031,2020
10622,OCCUPATIONAL THERAPY,1.0,"$ 77,181",Special Needs - Support Services,PUSH IN/PULL OUT,Q031,2020
10623,SETSS,1.0,"$ 93,194",Special Needs - Support Services,PUSH IN/PULL OUT,Q031,2020
10624,SPEECH,1.0,"$ 96,693",Special Needs - Support Services,PUSH IN/PULL OUT,Q031,2020
10625,F STATUS - GUIDANCE COUNSELOR,0.0,"$ 13,297",Guidance/Social Workers,,Q031,2020
10626,GUIDANCE COUNSELOR,0.4,"$ 41,241",Guidance/Social Workers,,Q031,2020
10627,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 40,501",SBST,,Q031,2020
10628,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,"$ 103,102",SBST,,Q031,2020
10629,504,1.0,"$ 14,924",Paraprofessionals,,Q031,2020
10630,CLASSROOM - Special Ed,3.0,"$ 114,591",Paraprofessionals,,Q031,2020
10631,IEP-ALTERNATE PLACEMENT,1.0,"$ 38,197",Paraprofessionals,,Q031,2020
10632,IEP-CRISIS MANAGEMENT(CIT),3.0,"$ 131,355",Paraprofessionals,,Q031,2020
10633,IEP-HEALTH,2.0,"$ 60,206",Paraprofessionals,,Q031,2020
10634,PRE-K,2.0,"$ 123,392",Paraprofessionals,,Q031,2020
10635,School Aides and Other Support Staff,0.0,"$ 129,668",School Aides and Other Support Staff,,Q031,2020
10636,ABSENCE COVERAGE,,"$ 3,836",Per Diem,,Q031,2020
10637,IEP-HEALTH,,"$ 36,918",Per Diem,,Q031,2020
10638,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 104,537",Per Session,,Q031,2020
10639,PARENT INVOLVEMENT,,"$ 2,651",Per Session,,Q031,2020
10640,SPECIAL ED INSTRUCTIONAL PGMS,,"$ 3,108",Per Session,,Q031,2020
10641,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 1,800",OTPS,,Q031,2020
10642,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 2,438",OTPS,,Q031,2020
10643,EDUCATIONAL CONSULTANTS,,"$ 1,010",OTPS,,Q031,2020
10644,EDUCATIONAL SOFTWARE,,"$ 3,963",OTPS,,Q031,2020
10645,EQUIPMENT - GENERAL,,"$ 4,902",OTPS,,Q031,2020
10646,LIBRARY BOOKS,,"$ 3,112",OTPS,,Q031,2020
10647,NON-CONTRACTUAL SERVICES,,"$ 3,131",OTPS,,Q031,2020
10648,SUPPLIES - GENERAL,,"$ 24,451",OTPS,,Q031,2020
10649,School Funded Copier,,"$ 1,548",Setasides,,Q031,2020
10650,People Working Partial Year,,"$ 213,274",People Working Partial Year,,Q031,2020
10651,Main School,58.4,"$ 5,406,595",School Site,,Q031,2020
10652,HEAD OF SCHOOL,1.0,"$ 167,526",Leadership,,Q031,2019
10653,ASST HEAD OF SCHOOL,1.0,"$ 125,917",Leadership,,Q031,2019
10654,PARENT COORDINATOR,1.0,"$ 40,929",Coordinator/Supervisor/Dean,,Q031,2019
10655,F STATUS - SCHOOL SECRETARY,0.0,"$ 17,776",Secretary,,Q031,2019
10656,SCHOOL SECRETARY,1.0,"$ 63,668",Secretary,,Q031,2019
10657,Pre K,2.0,"$ 255,270",Classroom Teacher,WHOLE CLASS,Q031,2019
10658,K,1.0,"$ 90,246",Classroom Teacher,ICT - Special Ed Teacher,Q031,2019
10659,K,1.0,"$ 90,246",Classroom Teacher,REDUCED CLASS SIZE,Q031,2019
10660,K,1.0,"$ 90,246",Classroom Teacher,WHOLE CLASS,Q031,2019
10661,K,3.0,"$ 270,738",Classroom Teacher,Sub-Total,Q031,2019
10662,"K, 1",1.0,"$ 76,411",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2019
10663,1,1.0,"$ 90,246",Classroom Teacher,ICT - General Ed Teacher,Q031,2019
10664,1,1.0,"$ 90,246",Classroom Teacher,ICT - Special Ed Teacher,Q031,2019
10665,1,2.0,"$ 180,492",Classroom Teacher,WHOLE CLASS,Q031,2019
10666,1,4.0,"$ 360,984",Classroom Teacher,Sub-Total,Q031,2019
10667,2,1.0,"$ 90,246",Classroom Teacher,ICT - General Ed Teacher,Q031,2019
10668,2,1.0,"$ 90,246",Classroom Teacher,ICT - Special Ed Teacher,Q031,2019
10669,2,2.0,"$ 180,492",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2019
10670,2,2.0,"$ 180,492",Classroom Teacher,WHOLE CLASS,Q031,2019
10671,2,6.0,"$ 541,476",Classroom Teacher,Sub-Total,Q031,2019
10672,3,1.0,"$ 90,246",Classroom Teacher,ICT - General Ed Teacher,Q031,2019
10673,3,1.0,"$ 90,246",Classroom Teacher,ICT - Special Ed Teacher,Q031,2019
10674,3,2.0,"$ 180,492",Classroom Teacher,WHOLE CLASS,Q031,2019
10675,3,4.0,"$ 360,984",Classroom Teacher,Sub-Total,Q031,2019
10676,4,2.0,"$ 180,492",Classroom Teacher,ICT - General Ed Teacher,Q031,2019
10677,4,2.0,"$ 180,492",Classroom Teacher,ICT - Special Ed Teacher,Q031,2019
10678,4,1.0,"$ 90,246",Classroom Teacher,WHOLE CLASS,Q031,2019
10679,4,5.0,"$ 451,230",Classroom Teacher,Sub-Total,Q031,2019
10680,"4, 5",1.0,"$ 90,246",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2019
10681,5,1.0,"$ 90,246",Classroom Teacher,ICT - General Ed Teacher,Q031,2019
10682,5,1.0,"$ 90,246",Classroom Teacher,ICT - Special Ed Teacher,Q031,2019
10683,5,2.0,"$ 134,467",Classroom Teacher,WHOLE CLASS,Q031,2019
10684,5,4.0,"$ 314,959",Classroom Teacher,Sub-Total,Q031,2019
10685,ARTS,1.0,"$ 122,400",Elementary Cluster/Quota,REDUCED CLASS SIZE,Q031,2019
10686,COMPUTER,1.0,"$ 112,829",Elementary Cluster/Quota,WHOLE CLASS,Q031,2019
10687,ESL,1.0,"$ 108,517",Elementary Cluster/Quota,WHOLE CLASS,Q031,2019
10688,MUSIC,1.0,"$ 116,418",Elementary Cluster/Quota,WHOLE CLASS,Q031,2019
10689,PHYSICAL EDUCATION,2.0,"$ 225,763",Elementary Cluster/Quota,WHOLE CLASS,Q031,2019
10690,SCIENCE - GENERAL SCIENCE,1.0,"$ 90,246",Elementary Cluster/Quota,WHOLE CLASS,Q031,2019
10691,OCCUPATIONAL THERAPY,1.0,"$ 75,145",Special Needs - Support Services,PUSH IN/PULL OUT,Q031,2019
10692,SETSS,1.0,"$ 90,246",Special Needs - Support Services,PUSH IN/PULL OUT,Q031,2019
10693,SPEECH,1.0,"$ 62,109",Special Needs - Support Services,PUSH IN/PULL OUT,Q031,2019
10694,GUIDANCE COUNSELOR,0.4,"$ 40,369",Guidance/Social Workers,,Q031,2019
10695,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 24,924",SBST,,Q031,2019
10696,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,"$ 99,227",SBST,,Q031,2019
10697,504,1.0,"$ 26,655",Paraprofessionals,,Q031,2019
10698,CLASSROOM - General Ed,2.0,"$ 117,274",Paraprofessionals,,Q031,2019
10699,CLASSROOM - Special Ed,4.0,"$ 139,758",Paraprofessionals,,Q031,2019
10700,IEP-ALTERNATE PLACEMENT,2.0,"$ 72,040",Paraprofessionals,,Q031,2019
10701,IEP-CRISIS MANAGEMENT(CIT),2.0,"$ 89,495",Paraprofessionals,,Q031,2019
10702,School Aides and Other Support Staff,0.0,"$ 151,974",School Aides and Other Support Staff,,Q031,2019
10703,504,,"$ 9,365",Per Diem,,Q031,2019
10704,ABSENCE COVERAGE,,"$ 98,012",Per Diem,,Q031,2019
10705,IEP-HEALTH,,"$ 30,197",Per Diem,,Q031,2019
10706,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 169,864",Per Session,,Q031,2019
10707,PARENT INVOLVEMENT,,"$ 10,249",Per Session,,Q031,2019
10708,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 3,527",OTPS,,Q031,2019
10709,EDUCATIONAL SOFTWARE,,"$ 4,494",OTPS,,Q031,2019
10710,EQUIPMENT - GENERAL,,"$ 6,444",OTPS,,Q031,2019
10711,FURNITURE (OBJECT 300),,"$ 2,525",OTPS,,Q031,2019
10712,LIBRARY BOOKS,,"$ 3,246",OTPS,,Q031,2019
10713,NON-CONTRACTUAL SERVICES,,$ 761,OTPS,,Q031,2019
10714,SUPPLIES - GENERAL,,"$ 50,403",OTPS,,Q031,2019
10715,TRANSPORTATION OF STAFF - NON-CONTRACT,,"$ 1,400",OTPS,,Q031,2019
10716,People Working Partial Year,,"$ 80,209",People Working Partial Year,,Q031,2019
10717,CB GE All Other Salaries Set Aside,,"$ 12,756",Setasides,,Q031,2019
10718,CB GE Classroom Teachers Set Aside,,"$ 23,448",Setasides,,Q031,2019
10719,CB GE Pupil Support Services Set Aside,,$ 42,Setasides,,Q031,2019
10720,CB Pre-K GE Set Aside,,"$ 4,134",Setasides,,Q031,2019
10721,CB SE All Other Salaries Set Aside,,"$ 3,780",Setasides,,Q031,2019
10722,CB SE Classroom Teachers Set Aside,,"$ 2,964",Setasides,,Q031,2019
10723,CB SE Pupil Support Services Set Aside,,"$ 12,421",Setasides,,Q031,2019
10724,School Funded Copier,,"$ 1,548",Setasides,,Q031,2019
10725,Main School,56.4,"$ 5,435,292",School Site,,Q031,2019
10726,HEAD OF SCHOOL,1.0,"$ 158,568",Leadership,,Q031,2018
10727,ASST HEAD OF SCHOOL,1.0,"$ 118,942",Leadership,,Q031,2018
10728,PARENT COORDINATOR,1.0,"$ 37,274",Coordinator/Supervisor/Dean,,Q031,2018
10729,F STATUS - SCHOOL SECRETARY,0.0,"$ 21,098",Secretary,,Q031,2018
10730,SCHOOL SECRETARY,1.0,"$ 60,549",Secretary,,Q031,2018
10731,Pre K,2.0,"$ 233,480",Classroom Teacher,WHOLE CLASS,Q031,2018
10732,K,1.0,"$ 83,243",Classroom Teacher,ICT - General Ed Teacher,Q031,2018
10733,K,1.0,"$ 83,243",Classroom Teacher,ICT - Special Ed Teacher,Q031,2018
10734,K,1.0,"$ 102,283",Classroom Teacher,REDUCED CLASS SIZE,Q031,2018
10735,K,2.0,"$ 166,486",Classroom Teacher,WHOLE CLASS,Q031,2018
10736,K,5.0,"$ 435,255",Classroom Teacher,Sub-Total,Q031,2018
10737,"K, 1",1.0,"$ 83,243",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2018
10738,1,1.0,"$ 83,243",Classroom Teacher,ICT - General Ed Teacher,Q031,2018
10739,1,1.0,"$ 83,243",Classroom Teacher,ICT - Special Ed Teacher,Q031,2018
10740,1,1.0,"$ 83,243",Classroom Teacher,REDUCED CLASS SIZE,Q031,2018
10741,1,1.0,"$ 116,740",Classroom Teacher,WHOLE CLASS,Q031,2018
10742,1,4.0,"$ 366,469",Classroom Teacher,Sub-Total,Q031,2018
10743,2,1.0,"$ 83,243",Classroom Teacher,ICT - General Ed Teacher,Q031,2018
10744,2,1.0,"$ 83,243",Classroom Teacher,ICT - Special Ed Teacher,Q031,2018
10745,2,2.0,"$ 192,409",Classroom Teacher,REDUCED CLASS SIZE,Q031,2018
10746,2,4.0,"$ 358,895",Classroom Teacher,Sub-Total,Q031,2018
10747,"2, 3",1.0,"$ 83,243",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2018
10748,3,1.0,"$ 83,243",Classroom Teacher,ICT - General Ed Teacher,Q031,2018
10749,3,1.0,"$ 83,243",Classroom Teacher,ICT - Special Ed Teacher,Q031,2018
10750,3,2.0,"$ 166,486",Classroom Teacher,WHOLE CLASS,Q031,2018
10751,3,4.0,"$ 332,972",Classroom Teacher,Sub-Total,Q031,2018
10752,4,1.0,"$ 29,793",Classroom Teacher,ICT - General Ed Teacher,Q031,2018
10753,4,1.0,"$ 83,243",Classroom Teacher,ICT - Special Ed Teacher,Q031,2018
10754,4,2.0,"$ 199,983",Classroom Teacher,WHOLE CLASS,Q031,2018
10755,4,4.0,"$ 313,019",Classroom Teacher,Sub-Total,Q031,2018
10756,"4, 5",1.0,"$ 83,243",Classroom Teacher,SELF-CONTAINED SP ED,Q031,2018
10757,5,1.0,"$ 83,243",Classroom Teacher,ICT - General Ed Teacher,Q031,2018
10758,5,1.0,"$ 83,243",Classroom Teacher,ICT - Special Ed Teacher,Q031,2018
10759,5,2.0,"$ 166,486",Classroom Teacher,WHOLE CLASS,Q031,2018
10760,5,4.0,"$ 332,972",Classroom Teacher,Sub-Total,Q031,2018
10761,ARTS,1.0,"$ 90,230",Elementary Cluster/Quota,REDUCED CLASS SIZE,Q031,2018
10762,COMPUTER,1.0,"$ 83,243",Elementary Cluster/Quota,WHOLE CLASS,Q031,2018
10763,ESL,2.0,"$ 96,604",Elementary Cluster/Quota,WHOLE CLASS,Q031,2018
10764,MUSIC,1.0,"$ 83,243",Elementary Cluster/Quota,WHOLE CLASS,Q031,2018
10765,PHYSICAL EDUCATION,2.0,"$ 181,124",Elementary Cluster/Quota,WHOLE CLASS,Q031,2018
10766,SCIENCE - GENERAL SCIENCE,1.0,"$ 83,243",Elementary Cluster/Quota,WHOLE CLASS,Q031,2018
10767,OCCUPATIONAL THERAPY,1.0,"$ 68,526",Special Needs - Support Services,PUSH IN/PULL OUT,Q031,2018
10768,SETSS,1.0,"$ 83,243",Special Needs - Support Services,PUSH IN/PULL OUT,Q031,2018
10769,SPEECH,1.0,"$ 90,166",Special Needs - Support Services,PUSH IN/PULL OUT,Q031,2018
10770,GUIDANCE COUNSELOR,0.4,"$ 38,772",Guidance/Social Workers,,Q031,2018
10771,TEACHER - ATTENDANCE,1.0,"$ 130,303",Guidance/Social Workers,,Q031,2018
10772,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 24,232",SBST,,Q031,2018
10773,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,"$ 115,741",SBST,,Q031,2018
10774,SCHOOL SOCIAL WORKERS (MANDATED SERVICES),1.0,"$ 95,255",SBST,,Q031,2018
10775,CLASSROOM - General Ed,2.0,"$ 111,634",Paraprofessionals,,Q031,2018
10776,IEP-ALTERNATE PLACEMENT,5.0,"$ 173,495",Paraprofessionals,,Q031,2018
10777,IEP-CRISIS MANAGEMENT(CIT),1.0,"$ 49,179",Paraprofessionals,,Q031,2018
10778,School Aides and Other Support Staff,0.0,"$ 135,914",School Aides and Other Support Staff,,Q031,2018
10779,ABSENCE COVERAGE,,"$ 75,526",Per Diem,,Q031,2018
10780,IEP-ALTERNATE PLACEMENT,,"$ 15,799",Per Diem,,Q031,2018
10781,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 177,067",Per Session,,Q031,2018
10782,PARENT INVOLVEMENT,,"$ 2,303",Per Session,,Q031,2018
10783,PROFESSIONAL DEVELOPMENT,,"$ 1,236",Per Session,,Q031,2018
10784,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 2,370",OTPS,,Q031,2018
10785,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 4,315",OTPS,,Q031,2018
10786,EDUCATIONAL CONSULTANTS,,"$ 7,600",OTPS,,Q031,2018
10787,EDUCATIONAL SOFTWARE,,$ 989,OTPS,,Q031,2018
10788,EQUIPMENT - GENERAL,,"$ 1,813",OTPS,,Q031,2018
10789,LIBRARY BOOKS,,"$ 3,198",OTPS,,Q031,2018
10790,NON-CONTRACTUAL SERVICES,,"$ 4,786",OTPS,,Q031,2018
10791,SUPPLIES - GENERAL,,"$ 44,151",OTPS,,Q031,2018
10792,TEXTBOOKS,,"$ 38,677",OTPS,,Q031,2018
10793,People Working Partial Year,,"$ 121,975",People Working Partial Year,,Q031,2018
10794,School Funded Copier,,"$ 1,032",Setasides,,Q031,2018
10795,Main School,56.4,"$ 5,256,206",School Site,,Q031,2018
10796,HEAD OF SCHOOL,1.0,"$ 177,444",Leadership,,Q026,2022
10797,ASST HEAD OF SCHOOL,1.0,"$ 129,665",Leadership,,Q026,2022
10798,PARENT COORDINATOR,1.0,"$ 61,082",Coordinator/Supervisor/Dean,,Q026,2022
10799,School Secretary,2.0,"$ 142,197",Secretary,,Q026,2022
10800,Pre K,2.0,"$ 284,581",Classroom Teacher,WHOLE CLASS,Q026,2022
10801,K,1.0,"$ 100,240",Classroom Teacher,ICT - General Ed Teacher,Q026,2022
10802,K,1.0,"$ 100,240",Classroom Teacher,ICT - Special Ed Teacher,Q026,2022
10803,K,5.0,"$ 501,200",Classroom Teacher,WHOLE CLASS,Q026,2022
10804,K,7.0,"$ 701,680",Classroom Teacher,Sub-Total,Q026,2022
10805,1,1.0,"$ 100,240",Classroom Teacher,ICT - General Ed Teacher,Q026,2022
10806,1,1.0,"$ 100,240",Classroom Teacher,ICT - Special Ed Teacher,Q026,2022
10807,1,3.0,"$ 300,720",Classroom Teacher,WHOLE CLASS,Q026,2022
10808,1,5.0,"$ 501,200",Classroom Teacher,Sub-Total,Q026,2022
10809,"1, 2",1.0,"$ 100,240",Classroom Teacher,SELF-CONTAINED SP ED,Q026,2022
10810,2,1.0,"$ 133,860",Classroom Teacher,ICT - General Ed Teacher,Q026,2022
